"","Artist","Track","count","Track_no_brackets","artist_first_word","artist_last_word","artist_lower","artist_no_featuring_lower","track_lower","track_lower_no_brackets","track_lower_no_schar","track_lower_no_brackets_schar_ws","artist_mbid","artist_lower_no_brackets","artist_lower_no_brackets_schar","artist_lower_no_brackets_schar_ws"
"72","Avant","Don't Take Your Love Away",20,"Don't Take Your Love Away","Avant","Avant","avant","avant","don't take your love away","don't take your love away","don t take your love away","donttakeyourloveaway","0d67d7bb-f423-47a5-a508-d100f268f7b3","avant","avant","avant"
"73","Avant","Makin' Good Love",20,"Makin' Good Love","Avant","Avant","avant","avant","makin' good love","makin' good love","makin  good love","makingoodlove","0d67d7bb-f423-47a5-a508-d100f268f7b3","avant","avant","avant"
"74","Avant","Read Your Mind",26,"Read Your Mind","Avant","Avant","avant","avant","read your mind","read your mind","read your mind","readyourmind","0d67d7bb-f423-47a5-a508-d100f268f7b3","avant","avant","avant"
"75","Avant","Separated",20,"Separated","Avant","Avant","avant","avant","separated","separated","separated","separated","0d67d7bb-f423-47a5-a508-d100f268f7b3","avant","avant","avant"
"76","Avant Featuring KeKe Wyatt","My First Love",20,"My First Love","Avant","Wyatt","avant featuring keke wyatt","avant","my first love","my first love","my first love","myfirstlove","0d67d7bb-f423-47a5-a508-d100f268f7b3","avant featuring keke wyatt","avantfeaturingkekewyatt","avantfeaturingkekewyatt"
"77","Avril Lavigne","Don't Tell Me",20,"Don't Tell Me","Avril","Lavigne","avril lavigne","avril lavigne","don't tell me","don't tell me","don t tell me","donttellme","0103c1cc-4a09-4a5d-a344-56ad99a77193","avril lavigne","avrillavigne","avrillavigne"
"78","Avril Lavigne","My Happy Ending",22,"My Happy Ending","Avril","Lavigne","avril lavigne","avril lavigne","my happy ending","my happy ending","my happy ending","myhappyending","0103c1cc-4a09-4a5d-a344-56ad99a77193","avril lavigne","avrillavigne","avrillavigne"
"79","Avril Lavigne","Nobody's Home",3,"Nobody's Home","Avril","Lavigne","avril lavigne","avril lavigne","nobody's home","nobody's home","nobody s home","nobodyshome","0103c1cc-4a09-4a5d-a344-56ad99a77193","avril lavigne","avrillavigne","avrillavigne"
"80","B.G. Featuring Baby, Turk, Mannie Fresh, Juvenile & Lil' Wayne","Bling Bling",19,"Bling Bling","B","Wayne","b.g. featuring baby, turk, mannie fresh, juvenile & lil' wayne","b.g.","bling bling","bling bling","bling bling","blingbling","fd416588-35fd-494c-98b6-9015dda54779","b.g. featuring baby, turk, mannie fresh, juvenile & lil' wayne","bgfeaturingbabyturkmanniefreshjuvenilelilwayne","bgfeaturingbabyturkmanniefreshjuvenilelilwayne"
"81","Baby Featuring Clipse","What Happened To That Boy",11,"What Happened To That Boy","Baby","Clipse","baby featuring clipse","baby","what happened to that boy","what happened to that boy","what happened to that boy","whathappenedtothatboy","5a045b09-af06-4348-9ce6-d51b6a370770","baby featuring clipse","babyfeaturingclipse","babyfeaturingclipse"
"82","Baby Featuring P. Diddy","Do That...",20,"Do That...","Baby","Diddy","baby featuring p. diddy","baby","do that...","do that...","do that   ","dothat","5a045b09-af06-4348-9ce6-d51b6a370770","baby featuring p. diddy","babyfeaturingpdiddy","babyfeaturingpdiddy"
"83","Babyface","What If",15,"What If","Babyface","Babyface","babyface","babyface","what if","what if","what if","whatif","8456d033-2fff-4c6c-a359-5776f4d54b2c","babyface","babyface","babyface"
