,recording.title,recording.artist-credit-phrase
622,I Don't Wanna,Aaliyah
623,I Don’t Wanna,Aaliyah
624,I Don't Wanna,Aaliyah
625,I Don't Wanna Come Back in One Piece,Aaliyah
626,Miss You,Aaliyah
627,Miss You,Aaliyah
628,Miss You,Aaliyah
629,Miss You,Aaliyah
630,Miss You,Aaliyah
631,Miss You,Aaliyah
632,Miss You,Aaliyah
633,Miss You,Aaliyah
634,Miss You,Aaliyah
635,Miss You,Aaliyah
636,Miss You,Aaliyah
637,Miss You,Aaliyah
638,Miss You (remix),Aaliyah featuring Jay‐Z
639,More Than a Woman,Aaliyah
640,More Than a Woman,Aaliyah
641,More Than a Woman,Aaliyah
642,More Than a Woman,Aaliyah
643,More Than a Woman,Aaliyah
644,More Than A Woman,Aaliyah
645,More Than a Woman,Aaliyah
646,More Than a Woman,Aaliyah
647,More Than a Woman,Aaliyah
648,More Than a Woman,Aaliyah
649,More Than a Woman,Aaliyah
650,More Than a Woman,Aaliyah
651,More Than a Woman,Aaliyah
652,More Than a Woman,Aaliyah
653,More Than a Woman (instrumental),Aaliyah
654,More Than a Woman (MAW edit),Aaliyah
655,"More Than a Woman (12"" version)",Aaliyah
656,More Than a Woman (MAW edit),Aaliyah
657,More Than A Woman (Album Version),Aaliyah
658,More Than a Woman (radio edit),Aaliyah
659,More Than a Woman (Krunchie remix 30/11/04),Aaliyah
660,More Than a Woman (Maw main mix),Aaliyah
661,More Than a Woman (Masters at Work mix),Aaliyah
662,More Than a Woman (Bump ’n’ Flex club mix),Aaliyah
663,More Than a Woman (Bump n Flex club mix),Aaliyah
664,Rock the Boat,Aaliyah
665,Rock the Boat,Aaliyah
666,Rock the Boat,Aaliyah
667,Rock the Boat,Aaliyah
668,Rock the Boat,Aaliyah
669,Rock the Boat,Aaliyah
670,Rock the Boat,Aaliyah
671,Rock the Boat,Aaliyah
672,Rock the Boat,Aaliyah
673,Rock the Boat,Aaliyah
674,Rock The Boat (ATYYA Remix),Aaliyah
675,Rock the Boat,Aaliyah feat. KC
676,Rock the Boat (Tina Turnup remix),Aaliyah
