ISRC,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
USSM19900594,Promise Me You'll Try,Jennifer Lopez,0.625,0.444,1,-8.41,1,0.0239,0.618,0.000138,0.132,0.14,105.874,audio_features,5q89uR2RL6kNpSfYCqSzzL,spotify:track:5q89uR2RL6kNpSfYCqSzzL,https://api.spotify.com/v1/tracks/5q89uR2RL6kNpSfYCqSzzL,https://api.spotify.com/v1/audio-analysis/5q89uR2RL6kNpSfYCqSzzL,231733,4
USRC11901346,"Monologue (Lifestory) - Live at The International Hotel, Las Vegas, NV - 8/22/69 Dinner Show",Elvis Presley,0.505,0.627,1,-18.915,1,0.912,0.846,0.0,0.97,0.103,121.829,audio_features,3aaSrkOEsTOUEjCeirwOrm,spotify:track:3aaSrkOEsTOUEjCeirwOrm,https://api.spotify.com/v1/tracks/3aaSrkOEsTOUEjCeirwOrm,https://api.spotify.com/v1/audio-analysis/3aaSrkOEsTOUEjCeirwOrm,608280,4
USUG12103085,Reefer Head Woman,Aerosmith,0.478,0.645,4,-8.316,0,0.198,0.482,0.031,0.61,0.657,144.974,audio_features,58wkIWSCm3QXa5xlND4gl9,spotify:track:58wkIWSCm3QXa5xlND4gl9,https://api.spotify.com/v1/tracks/58wkIWSCm3QXa5xlND4gl9,https://api.spotify.com/v1/audio-analysis/58wkIWSCm3QXa5xlND4gl9,337960,3
GBUM70710586,Drunk Chicken / America,U2,0.641,0.628,7,-13.763,1,0.0808,0.869,0.000534,0.0677,0.606,103.239,audio_features,3ZKNiTYGbFIU2AiXGJpp6Z,spotify:track:3ZKNiTYGbFIU2AiXGJpp6Z,https://api.spotify.com/v1/tracks/3ZKNiTYGbFIU2AiXGJpp6Z,https://api.spotify.com/v1/audio-analysis/3ZKNiTYGbFIU2AiXGJpp6Z,91251,4
GBCCS1900017,Blackbird - Live At Amoeba 2007,Paul McCartney,0.468,0.453,7,-15.13,1,0.102,0.622,3.26e-06,0.444,0.764,90.214,audio_features,1zuL3Wo4qG7TRmemWEfiUO,spotify:track:1zuL3Wo4qG7TRmemWEfiUO,https://api.spotify.com/v1/tracks/1zuL3Wo4qG7TRmemWEfiUO,https://api.spotify.com/v1/audio-analysis/1zuL3Wo4qG7TRmemWEfiUO,224387,4
USAR10201244,Do You Hear What I Hear?,Kenny G,0.289,0.283,5,-13.51,1,0.0347,0.589,0.357,0.101,0.0793,72.562,audio_features,1srUAekvUXm1PCLXbRc2pv,spotify:track:1srUAekvUXm1PCLXbRc2pv,https://api.spotify.com/v1/tracks/1srUAekvUXm1PCLXbRc2pv,https://api.spotify.com/v1/audio-analysis/1srUAekvUXm1PCLXbRc2pv,187493,3
USIR39200064,Burning Hell,R.E.M.,0.459,0.935,4,-5.867,1,0.0493,0.00373,0.00496,0.0892,0.636,137.251,audio_features,3vcfoWLtc3msAdoTeRI09L,spotify:track:3vcfoWLtc3msAdoTeRI09L,https://api.spotify.com/v1/tracks/3vcfoWLtc3msAdoTeRI09L,https://api.spotify.com/v1/audio-analysis/3vcfoWLtc3msAdoTeRI09L,229360,4
USSM10507098,Check On It (feat. Slim Thug) - King Klub Mix,Beyoncé,0.793,0.847,2,-6.476,1,0.0373,0.000559,0.00427,0.0561,0.576,129.994,audio_features,7akK6Fiztqgh8SvgCtbkXE,spotify:track:7akK6Fiztqgh8SvgCtbkXE,https://api.spotify.com/v1/tracks/7akK6Fiztqgh8SvgCtbkXE,https://api.spotify.com/v1/audio-analysis/7akK6Fiztqgh8SvgCtbkXE,408173,4
USPO19800014,Snoop World,Snoop Dogg,0.752,0.723,7,-6.188,1,0.149,0.178,0.0,0.228,0.927,81.549,audio_features,4j6Wplh7OGXVNWk3Ucj38S,spotify:track:4j6Wplh7OGXVNWk3Ucj38S,https://api.spotify.com/v1/tracks/4j6Wplh7OGXVNWk3Ucj38S,https://api.spotify.com/v1/audio-analysis/4j6Wplh7OGXVNWk3Ucj38S,319733,4
USIR10400451,Welcome To D-Block,Jadakiss,0.697,0.891,7,-3.296,0,0.441,0.0631,0.0,0.369,0.563,178.001,audio_features,3CegiqcSMdRO8Acm2iplpx,spotify:track:3CegiqcSMdRO8Acm2iplpx,https://api.spotify.com/v1/tracks/3CegiqcSMdRO8Acm2iplpx,https://api.spotify.com/v1/audio-analysis/3CegiqcSMdRO8Acm2iplpx,265493,4
USUM70618664,We're Back,Eminem,0.575,0.76,6,-5.464,1,0.446,0.00996,0.0,0.624,0.683,87.584,audio_features,4THxOiCuDZ0yWxwRJfbPX7,spotify:track:4THxOiCuDZ0yWxwRJfbPX7,https://api.spotify.com/v1/tracks/4THxOiCuDZ0yWxwRJfbPX7,https://api.spotify.com/v1/audio-analysis/4THxOiCuDZ0yWxwRJfbPX7,239640,4
USBB40580123,"24 Hrs. to Live (feat. The Lox, Black Rob & DMX)",Mase,0.66,0.869,5,-5.917,0,0.265,0.0985,0.0,0.187,0.652,95.625,audio_features,02dwHTP8NS3rOaOWhg8j7V,spotify:track:02dwHTP8NS3rOaOWhg8j7V,https://api.spotify.com/v1/tracks/02dwHTP8NS3rOaOWhg8j7V,https://api.spotify.com/v1/audio-analysis/02dwHTP8NS3rOaOWhg8j7V,256040,4
DEA819700266,Giddy Up,*NSYNC,0.738,0.868,2,-4.068,1,0.178,0.0252,0.0,0.817,0.656,93.022,audio_features,0Yu21Cpdic4CdQtcHC31gu,spotify:track:0Yu21Cpdic4CdQtcHC31gu,https://api.spotify.com/v1/tracks/0Yu21Cpdic4CdQtcHC31gu,https://api.spotify.com/v1/audio-analysis/0Yu21Cpdic4CdQtcHC31gu,248800,4
USWB11001968,Postcards from Paradise,The Goo Goo Dolls,0.433,0.863,9,-4.035,1,0.0408,6.44e-05,0.0,0.248,0.366,137.063,audio_features,0b0bFuuoKsw9QKsAuKnzrD,spotify:track:0b0bFuuoKsw9QKsAuKnzrD,https://api.spotify.com/v1/tracks/0b0bFuuoKsw9QKsAuKnzrD,https://api.spotify.com/v1/audio-analysis/0b0bFuuoKsw9QKsAuKnzrD,221920,4
