danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,ISRC
0.286,0.679,8,-6.957,0,0.0407,0.0099,0.653,0.109,0.187,80.147,audio_features,4RJoZWtDSxv6mBNFVLV3RU,spotify:track:4RJoZWtDSxv6mBNFVLV3RU,https://api.spotify.com/v1/tracks/4RJoZWtDSxv6mBNFVLV3RU,https://api.spotify.com/v1/audio-analysis/4RJoZWtDSxv6mBNFVLV3RU,278707,4,GBDNH0400394
0.545,0.603,9,-9.131,0,0.0295,0.00379,0.872,0.338,0.498,124.021,audio_features,3kO2OdybyWaaAwtl3SzaSg,spotify:track:3kO2OdybyWaaAwtl3SzaSg,https://api.spotify.com/v1/tracks/3kO2OdybyWaaAwtl3SzaSg,https://api.spotify.com/v1/audio-analysis/3kO2OdybyWaaAwtl3SzaSg,206093,4,USSM19803844
0.567,0.964,0,-8.876,0,0.0492,0.0117,0.652,0.117,0.632,133.572,audio_features,2ZqouqgzmvZqVUNUEMqLOq,spotify:track:2ZqouqgzmvZqVUNUEMqLOq,https://api.spotify.com/v1/tracks/2ZqouqgzmvZqVUNUEMqLOq,https://api.spotify.com/v1/audio-analysis/2ZqouqgzmvZqVUNUEMqLOq,367360,4,USSM19803849
0.618,0.32,0,-12.737,1,0.0299,0.105,0.467,0.0789,0.188,145.247,audio_features,58SLyIbAPcjtMMEs0u16Cu,spotify:track:58SLyIbAPcjtMMEs0u16Cu,https://api.spotify.com/v1/tracks/58SLyIbAPcjtMMEs0u16Cu,https://api.spotify.com/v1/audio-analysis/58SLyIbAPcjtMMEs0u16Cu,290573,4,USSM19803846
0.277,0.266,0,-20.78,1,0.21,0.324,0.08,0.593,0.0401,155.643,audio_features,4K2jSlI0Cx9E7UtkFFu18k,spotify:track:4K2jSlI0Cx9E7UtkFFu18k,https://api.spotify.com/v1/tracks/4K2jSlI0Cx9E7UtkFFu18k,https://api.spotify.com/v1/audio-analysis/4K2jSlI0Cx9E7UtkFFu18k,83800,4,USSM19803847
0.707,0.695,2,-8.152,1,0.0339,0.041,0.0512,0.178,0.692,97.531,audio_features,6Qf4dx9UGYIqyOwLEAGTkg,spotify:track:6Qf4dx9UGYIqyOwLEAGTkg,https://api.spotify.com/v1/tracks/6Qf4dx9UGYIqyOwLEAGTkg,https://api.spotify.com/v1/audio-analysis/6Qf4dx9UGYIqyOwLEAGTkg,286227,4,USSM19803848
0.602,0.204,10,-12.606,0,0.0394,0.988,0.427,0.438,0.824,140.998,audio_features,7vdzRkg5cKpeL1TAkcWxPh,spotify:track:7vdzRkg5cKpeL1TAkcWxPh,https://api.spotify.com/v1/tracks/7vdzRkg5cKpeL1TAkcWxPh,https://api.spotify.com/v1/audio-analysis/7vdzRkg5cKpeL1TAkcWxPh,21773,4,USSM19803853
0.675,0.675,3,-8.9,1,0.0401,0.00215,0.755,0.0883,0.897,140.863,audio_features,7zPekAUzmElX6CGonTtZxP,spotify:track:7zPekAUzmElX6CGonTtZxP,https://api.spotify.com/v1/tracks/7zPekAUzmElX6CGonTtZxP,https://api.spotify.com/v1/audio-analysis/7zPekAUzmElX6CGonTtZxP,357267,4,USSM19803843
0.666,0.949,6,-6.806,0,0.0416,0.0307,0.106,0.0983,0.904,140.882,audio_features,4pd9fMEUQmg1PQecbwn26K,spotify:track:4pd9fMEUQmg1PQecbwn26K,https://api.spotify.com/v1/tracks/4pd9fMEUQmg1PQecbwn26K,https://api.spotify.com/v1/audio-analysis/4pd9fMEUQmg1PQecbwn26K,194627,4,USSM19803845
0.328,0.874,2,-8.201,1,0.453,0.0205,0.0124,0.738,0.365,95.946,audio_features,1Mpz68H0J3Yo3Bnx0g7KUu,spotify:track:1Mpz68H0J3Yo3Bnx0g7KUu,https://api.spotify.com/v1/tracks/1Mpz68H0J3Yo3Bnx0g7KUu,https://api.spotify.com/v1/audio-analysis/1Mpz68H0J3Yo3Bnx0g7KUu,295227,4,USSM19803850
