"","Artist","artist","artist_credit_phrase","Artist_no_featuring","song title","artist mbid","ISRC","release","recording_id","country","date"
"72","DMX Featuring Sisqo","DMX","DMX","DMX","Comin’ for Ya","f3bf61f8-97d4-4e52-a73d-2ddbbe8196c8","USDJ29905363","…And Then There Was X","5dc0bc8d-e574-4de0-ac8c-6b1a3883a871","US","1999-12-21"
"73","Norah Jones","Logic","Logic feat. Norah Jones","Norah Jones","Paradise II","985c709c-7771-4de3-9024-7bda29ebe3f9","QMRSZ2202998","College Park","f08340fd-06df-44b2-88c5-a835b07029aa","XW","2023-02-24"
"74","2Pac","2Pac","2Pac","2Pac","Guess Who’s Back","382f1005-e9ab-4684-afd4-0bdae4ee37f2","USIR19300811","Strictly 4 My N.I.G.G.A.Z…","77603bf5-e168-4308-b8e6-93bd5c88415b","XE","1993-02-15"
"75","Britney Spears","Britney Spears","Britney Spears","Britney Spears","I Wanna Go (Captain Cuts club mix)","45a663b5-b1cb-4a91-bff6-2bef7bbfdd76","USJI11100254","I Wanna Go (Remixes)","3a84546c-65c0-4804-8243-cebbec14194f","US","2011-07-15"
"76","Lil' Wayne Featuring Baby, Mack 10 & Mickey","Amerie","Amerie feat. Lil Wayne","Lil Wayne","Heard ’em All (remix)","ac9a487a-d9d2-4f27-bb23-0f4686488345","USUM70998448","Promo Only: Urban Club, October 2009 (disc 1)","b7a5ca67-4cef-4959-81a9-377cb2526941","US","2009-10"
"77","Missy ""Misdemeanor"" Elliott Featuring Ludacris","Missy Elliott","Missy Elliott featuring Ginuwine","Missy Misdemeanor Elliott","Take Away","a0b8cb9e-7532-45fe-a74c-30e7c4009a39","USEW20100198","Miss E …So Addictive","a99016bc-439e-4fb3-9e6b-44a69c3a575f","XW","2001-05-04"
"78","Tupac Featuring The Notorious B.I.G.","The Notorious B.I.G.","The Notorious B.I.G. feat. Snoop Dogg, Nate Dogg, Fabolous & Busta Rhymes","Tupac","Running Your Mouth","d5d97b2b-b83b-4976-814a-056d9076c8c3","USBB40706450","Greatest Hits","405c7560-c1db-4ff1-9c68-da2068f3a7cd","US","2007-03-05"
"79","Don Henley","Don Henley","Don Henley","Don Henley","Dirty Laundry","b2c2d4fe-8c1e-44ec-8be6-ff500e105a90","USWB18200020","Rock Hits","ff83a6af-c792-48c0-8732-33094987a49c","AR","2019-07-12"
"80","Alan Jackson & Jimmy Buffett","George Strait","George Strait with Alan Jackson","Alan Jackson","Murder on Music Row","7291957b-c463-4275-a41c-a104c9e2337f","USUM71411929","The Cowboy Rides Away: Live from AT&T Stadium","84185bc2-c634-4cce-b96e-242cdb25b9c8","XW","2014-09-16"
"81","Alicia Keys","Alicia Keys","Alicia Keys","Alicia Keys","Little Drummer Girl","8ef1df30-ae4f-4dbd-9351-1a32b208a01e","USSM19603203","Songs for a Cause","a7356b8e-819a-4fd9-86b3-98aeed35b946","US","2008"
"82","George Strait","George Strait","George Strait","George Strait","The Man in Love with You","5ab2cf34-517e-48eb-b3a5-34e1cbcd600a","USMC19341405","Easy Come Easy Go","4aece9ba-5d38-4489-bb31-0d52335052b3","US","1993-09-28"
"83","George Strait","George Strait","George Strait","George Strait","The Man in Love with You","5ab2cf34-517e-48eb-b3a5-34e1cbcd600a","USMCN0400164","Easy Come Easy Go","4aece9ba-5d38-4489-bb31-0d52335052b3","US","1993-09-28"
"84","Kenny Chesney","Kenny Chesney","Kenny Chesney","Kenny Chesney","Dreams","5dca4d22-d6c8-4e70-8ca1-4543e43353c7","USBN10000212","No Shoes, No Shirt, No Problems","df90c154-b60d-4c0a-91bc-3bc4cc8545b7","US","2002-04-23"
"85","t.A.T.u.","t.A.T.u.","t.A.T.u.","tATu","Craving (I Only Want What I Can’t Have)","7c20f558-d664-42bd-b6f1-81acf9dbb72d","USUM70502478","Dangerous and Moving","a56fddf9-4259-4b32-a777-a8af9de388d1","JP","2005-10-05"
"86","Common","Common","Common","Common","Testify","c0a1179b-b14a-4d68-a3c1-1fdab16ed602","USMC10500394","Be","ede6a783-23b2-40a2-a452-0273a7491f7f","AU","2005-05-23"
"87","Daft Punk","Daft Punk","Daft Punk feat. Pharrell Williams","Daft Punk","Get Lucky","056e4f3e-d505-4dad-8ec1-d04f521cbb56","USQX91300809","Get Lucky","744787e9-444c-4494-a544-7640dafc0e9d","XW","2013-04-19"
"88","Kid Rock Featuring Sheryl Crow Or Allison Moorer","Kid Rock","Kid Rock","Kid Rock","Rock ’n’ Roll","ad0ecd8b-805e-406e-82cb-5b00c3a3a29e","USAT20303232","Kid Rock","b6a274fd-f490-4d08-b3f8-8fa5518af729","US","2003-11-11"
"89","Beth Hart","Beth Hart","Beth Hart & Joe Bonamassa","Beth Hart","Ain’t No Way","3fe817fc-966e-4ece-b00a-76be43e7e73c","NLB931100469","Don’t Explain","a06a8d67-14bd-40d7-8bac-330abb93305e","GB","2011-09-26"
"90","Beth Hart","Beth Hart","Beth Hart & Joe Bonamassa","Beth Hart","Ain’t No Way","3fe817fc-966e-4ece-b00a-76be43e7e73c","USMH51100107","Don’t Explain","a06a8d67-14bd-40d7-8bac-330abb93305e","GB","2011-09-26"
"91","Talib Kweli","Talib Kweli","Talib Kweli feat. Strong Arm Steady","Talib Kweli","Go With Us","bb3cbea2-5ad4-4917-bc84-8a1975d40315","USWB10703202","Eardrum","f25cb292-0209-45ec-b289-b059bcb3b342","XW","2007-08-21"
"92","Nelly Featuring Tim McGraw","Nelly","Nelly feat. St. Lunatics","Nelly","Getcha Getcha","811900b2-68fc-4d41-8bad-69b7a1f4d628","USUR10400766","Sweat","dcebb41c-b7e3-4f7e-87a0-6321a4484d5e","XE","2004-09-13"
"93","Nelly Featuring Tim McGraw","Nelly","Nelly feat. St. Lunatics","Nelly","Getcha Getcha","811900b2-68fc-4d41-8bad-69b7a1f4d628","USUR10400811","Sweat","dcebb41c-b7e3-4f7e-87a0-6321a4484d5e","XE","2004-09-13"
"94","Tim McGraw","Tim McGraw","Tim McGraw","Tim McGraw","You Don’t Love Me Anymore","7e5cfc9a-e9e1-46f1-b81a-861b12049488","USCRB9900113","A Place in the Sun","cad28236-4c01-4bb2-9ab4-abcdc54557a9","US","1999-05-04"
"95","Eminem Featuring Dido","Eminem","Eminem","Eminem","Believe","b95ce3ff-3d05-4e87-9e01-c97b66af13d4","USUM71713007","Revival","d7133266-ed0e-4bbe-a43f-3deb62d6fc59","US","2017-12-15"
"96","Ludacris Featuring Nate Dogg","Ludacris","Ludacris feat. 4-ize","Ludacris","Mouthing Off","0638ba22-040f-438d-83a5-9b670c4adaf5","USDJ20010525","Incognegro","6a759ef8-a0bf-4d4f-9aaf-d8e6aaf8867c","US","2000-05-16"
"97","Teena Marie Featuring Baby","Teena Marie","Teena Marie","Teena Marie","Portuguese Love","98cb2d05-0b47-4bc6-b345-792eecbe8449","USMO18100017","It Must Be Magic","d306a73b-0fe6-46a2-91e2-dc7472d51c5e","US","1981-05-22"
"98","Beyonce Featuring Jay Z","Beyoncé","Beyoncé","Beyonce","Rocket","859d0860-d480-4efd-970c-c05d5f1776b8","USSM21302455","BEYONCÉ","55791a83-9285-49c2-b065-91fc8c7efef2",NA,"2013-12-13"
"99","Anastacia","Anastacia","Anastacia","Anastacia","Pendulum","d3b2bec4-b70e-460e-b433-a865ceac2de8","UKHNU1600009","A 4 App","789120ee-c599-4f05-a26a-17bca2670698","XW","2016-12-16"
