"Artist","Track","count","Track_no_brackets","artist_first_word","artist_last_word"
"Backstreet Boys","Larger Than Life",19,"Larger Than Life","Backstreet","Boys"
"Backstreet Boys","More Than That",20,"More Than That","Backstreet","Boys"
"Backstreet Boys","Shape Of My Heart",20,"Shape Of My Heart","Backstreet","Boys"
"Backstreet Boys","Show Me The Meaning Of Being Lonely",24,"Show Me The Meaning Of Being Lonely","Backstreet","Boys"
"Backstreet Boys","The Call",6,"The Call","Backstreet","Boys"
"Backstreet Boys","The One",15,"The One","Backstreet","Boys"
"Bad Boy's Da Band","Bad Boy This Bad Boy That",9,"Bad Boy This Bad Boy That","Bad","Band"
"Baha Men","Who Let The Dogs Out",20,"Who Let The Dogs Out","Baha","Men"
"Baha Men With Imani Coppola","You All Dat",4,"You All Dat","Baha","Coppola"
"Barenaked Ladies","Another Postcard (Chimps)",15,"Another Postcard ","Barenaked","Ladies"
"Barenaked Ladies","It's All Been Done",11,"It's All Been Done","Barenaked","Ladies"
"Barenaked Ladies","One Week",7,"One Week","Barenaked","Ladies"
"Barenaked Ladies","Pinch Me",21,"Pinch Me","Barenaked","Ladies"
"Barenaked Ladies","Too Little Too Late",4,"Too Little Too Late","Barenaked","Ladies"
"Baz Luhrmann","Everybody's Free (To Wear Sunscreen)",7,"Everybody's Free ","Baz","Luhrmann"
"BBMak","Back Here",31,"Back Here","BBMak","BBMak"
"BBMak","Out Of My Heart (Into Your Head)",8,"Out Of My Heart ","BBMak","BBMak"
"BBMak","Still On Your Side",9,"Still On Your Side","BBMak","BBMak"
"Beanie Sigel & Freeway","Roc The Mic",19,"Roc The Mic","Beanie","Freeway"
"Beastie Boys","Ch-Check It Out",12,"Ch-Check It Out","Beastie","Boys"
"Beenie Man","King Of The Dancehall",12,"King Of The Dancehall","Beenie","Man"
"Beenie Man Featuring Janet","Feel It Boy",12,"Feel It Boy","Beenie","Janet"
"Beenie Man Featuring Ms. Thing","Dude",26,"Dude","Beenie","Thing"
"Beenie Man Featuring Mya","Girls Dem Sugar",15,"Girls Dem Sugar","Beenie","Mya"
"Before Dark","Monica",9,"Monica","Before","Dark"
"Benzino","Rock The Party",18,"Rock The Party","Benzino","Benzino"
"Beth Hart","L.A. Song",12,"L.A. Song","Beth","Hart"
"Better Than Ezra","At The Stars",4,"At The Stars","Better","Ezra"
"Beyonce","Dangerously In Love",15,"Dangerously In Love","Beyonce","Beyonce"
"Beyonce","Me, Myself And I",24,"Me, Myself And I","Beyonce","Beyonce"
"Beyonce","Naughty Girl",22,"Naughty Girl","Beyonce","Beyonce"
"Beyonce Featuring Jay Z","Crazy In Love",27,"Crazy In Love","Beyonce","Z"
"Beyonce Featuring Sean Paul","Baby Boy",29,"Baby Boy","Beyonce","Paul"
"Big & Rich","Save A Horse (Ride A Cowboy)",9,"Save A Horse ","Big","Rich"
"Big & Rich","Wild West Show",9,"Wild West Show","Big","Rich"
"Big Punisher Featuring Donell Jones","It's So Hard",15,"It's So Hard","Big","Jones"
"Big Tymers","Still Fly",24,"Still Fly","Big","Tymers"
"Big Tymers","This Is How We Do",3,"This Is How We Do","Big","Tymers"
"Big Tymers Featuring R. Kelly","Gangsta Girl",9,"Gangsta Girl","Big","Kelly"
"Big Tymers Featuring Tateeze, Boo & Gotti","Oh Yeah!",18,"Oh Yeah!","Big","Gotti"
"Bilal","Soul Sista",14,"Soul Sista","Bilal","Bilal"
"Billy Currington","I Got A Feelin'",16,"I Got A Feelin'","Billy","Currington"
"Billy Currington","Walk A Little Straighter",15,"Walk A Little Straighter","Billy","Currington"
"Billy Gilman","Oklahoma",13,"Oklahoma","Billy","Gilman"
"Billy Gilman","One Voice",19,"One Voice","Billy","Gilman"
"Billy Ray Cyrus","Busy Man",17,"Busy Man","Billy","Cyrus"
"Billy Ray Cyrus","You Won't Be Lonely Now",13,"You Won't Be Lonely Now","Billy","Cyrus"
"Black Rob","Whoa!",17,"Whoa!","Black","Rob"
"BlackHawk","There You Have It",10,"There You Have It","BlackHawk","BlackHawk"
