Unnamed: 0,ISRC,spotify_ID,artist,song_title
188,USMO10001026,4dlW1JQaGYc7kPAyZmOJM8,Wolfgang Amadeus Mozart,"Piano Sonata No. 17 in B-Flat Major, K. 570: II. Adagio (Arr. I. J. Pleyel for string quartet)"
189,USMO10001026,25vbig2HRPlkDIkjxx8zDn,Kevin Braheny,Milky Way Rising
190,USMO10001026,6qbYPZYJ7U4YwkUVagYqgv,John Mellencamp,Miss Missy
191,USMO10001026,0sj9yu9kL8Nmj6CEQ0VZZR,Bruce Springsteen,The Big Muddy
192,USMO10001026,3BYKlVp3QPrUcfnZWyqO0K,Jim Guthrie,"Now, More Than Ever"
193,USMO10001026,6gO2gBzKKxyR49ifmKlkvz,Steve Perry,"Once In a Lifetime, Girl"
194,USMO10001026,7D1FXKTNz2gQDG5bqOPfZ4,Supergrass,Going Out
195,USMO10001026,7yfelQUT7pUPWwsRSV8D1b,Grant Green,Django
196,USMO10001026,75lyoqCZk942D3K7HHJtE0,Jethro Tull,My God - Live
197,USMO10001026,5OmCLim6Ibetb9tQOumiLn,Mike V & The Rats,Another City
198,USMO10001026,0Y2yfCj7jvS55VEvx1ytlw,Dock Boggs,The Death of Jerry Damron
199,USMO10001026,1ElPJiI7oJIcEI5k4RrtZL,Fleetwood Mac,Need Your Love so Bad - US Version
200,USMO10001026,7LJz6DZS1tIRB06bbYbAPi,Erykah Badu,...& On
201,USIR29800091,3sSXIbi8KxID2jBuvtmDlO,Charlie Rich,Beautiful Woman
202,USIR29800091,7gkuCYWtPHsntj5eiHqa8n,Jeanette,Amanecer
203,USIR29800091,5HybmSs6AV6FWaxv9UYxqe,Johnny Mathis,"Good Night, Dear Lord"
204,USIR29800091,3Y4tjjebbyEJ1409eCBlJ9,Stevie Wonder,Please Don't Go
205,USIR29800091,52PhoPFtbwZK2l4zO3fR25,Alanis Morissette,Surrendering
206,USIR29800091,6MxJ3eiHQBZZileEIc6Q8w,Michael Roe,It's Still Here (Live)
207,USIR29800091,29O97dLTo4LnMCIkix6pWL,Limbeck,In Ohio on Some Steps
208,USIR29800091,3H0PmeGFYXJvmiJssiNnYT,TobyMac,Ill-M-I
209,USIR29800091,7bTwaUqpluLnd9xXmmObxw,Little Big Town,Bones
210,USIR29800091,2iB7IKO80VAZoxnfuRXVK9,Busta Rhymes,Truck Volume
211,USIR29800091,3qCHUm73I3o5F1mDEfibzo,The Spencer Davis Group,Gimme Some Lovin' - Single Mix
212,USIR29800091,5MVw0LX5TKuOoKWGPRF76t,The Brian Setzer Orchestra,Nosey Joe
213,USIR29800091,1uz7XNGIPwugpFvRqQ5XtQ,Muse,Hate This and I'll Love You
214,USIR29800091,5VxUE9kR8Q69d55x4Yf9DZ,Foxy Brown,I Don't Care
215,USIR29800091,3hMYeXwP0uk7nQyXZtwalB,Mark O'Connor,Strings & Threads Suite: III. Captain's Jig
216,USIR29800091,3xeubznwKxQD0OFwLIVd7Y,Peter Himmelman,"Woman With The Strength Of 10,000 Men"
217,USIR29800091,3GcRZ1Q9Q6NIeDNw3MVAWS,Modest Mouse,Trailer Trash
218,USIR29800091,0hPwMH9HF1zWi9OhrzgKwU,Frédéric Chopin,"24 Préludes, Op. 28: No. 7 in A Major"
219,USIR29800091,4bmudF9rldfXEwZZBqp1tv,Kelley Stoltz,26th Street Floor
220,USIR29800091,0w6nR60VzGOIeh7zAoAOhf,Nazz,Under the Ice
221,USIR29800091,4whM0omyFESqP9ImzRGSG8,Stevie Wonder,True Love
